Adelaide,AAMI_Stadium=1.000000,,,
Brisbane_Lions,Gabba=1.000000,,,
Carlton,Gold_Coast_Stadium=0.045455,Etihad_Stadium=0.545455,Melbourne_Cricket_Ground=0.409091,
Collingwood,Etihad_Stadium=0.181818,Melbourne_Cricket_Ground=0.818182,,
Essendon,Etihad_Stadium=0.636364,Melbourne_Cricket_Ground=0.363636,,
Fremantle,Subiaco_Oval=1.000000,,,
Geelong,Etihad_Stadium=0.181818,Melbourne_Cricket_Ground=0.090909,Skilled_Stadium=0.727273,
Hawthorn,Aurora_Stadium=0.363636,Melbourne_Cricket_Ground=0.636364,,
Melbourne,Manuka_Oval=0.090909,Melbourne_Cricket_Ground=0.909091,,
North_Melbourne,Gold_Coast_Stadium=0.136364,Etihad_Stadium=0.727273,Melbourne_Cricket_Ground=0.136364,
Port_Adelaide,AAMI_Stadium=1.000000,,,
Richmond,Gold_Coast_Stadium=0.045455,Etihad_Stadium=0.227273,Melbourne_Cricket_Ground=0.727273,
St_Kilda,Gold_Coast_Stadium=0.045455,Etihad_Stadium=0.954545,,
Sydney,Sydney_Cricket_Ground=0.636364,ANZ_Stadium=0.363636,,
West_Coast,Subiaco_Oval=1.000000,,,
Western_Bulldogs,TIO_Stadium=0.090909,Manuka_Oval=0.090909,Etihad_Stadium=0.727273,Melbourne_Cricket_Ground=0.090909
