Adelaide,AAMI_Stadium=1.000000,,,
Brisbane_Lions,Gabba=1.000000,,,
Carlton,Gold_Coast_Stadium=0.0,Etihad_Stadium=0.571429,Melbourne_Cricket_Ground=0.428571,
Collingwood,Etihad_Stadium=0.181818,Melbourne_Cricket_Ground=0.818182,,
Essendon,Etihad_Stadium=0.636364,Melbourne_Cricket_Ground=0.363636,,
Fremantle,Subiaco_Oval=1.000000,,,
Geelong,Etihad_Stadium=0.20,Melbourne_Cricket_Ground=0.0,Skilled_Stadium=0.80,
Hawthorn,Aurora_Stadium=0.363636,Melbourne_Cricket_Ground=0.636364,,
Melbourne,Manuka_Oval=0.0,Melbourne_Cricket_Ground=1.0,,
North_Melbourne,Gold_Coast_Stadium=0.136364,Etihad_Stadium=0.727273,Melbourne_Cricket_Ground=0.136364,
Port_Adelaide,AAMI_Stadium=1.000000,,,
Richmond,Gold_Coast_Stadium=0.0,Etihad_Stadium=0.238095,Melbourne_Cricket_Ground=0.761905,
St_Kilda,Gold_Coast_Stadium=0.0,Etihad_Stadium=1.0,,
Sydney,Sydney_Cricket_Ground=0.636364,ANZ_Stadium=0.363636,,
West_Coast,Subiaco_Oval=1.000000,,,
Western_Bulldogs,TIO_Stadium=0.0,Manuka_Oval=0.0,Etihad_Stadium=1.0,Melbourne_Cricket_Ground=0.0
